Book,Exam,Number,ID,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
,,,,Cell Physiology (BRS),Membrane Transport,Which of the following describes simple diffusion?,"No carrier needed, passive, downhill","Needs carrier, passive, downhill","Needs ATP, uphill","Uses energy from primary pump, uphill","Active, uses carrier","No carrier needed, passive, downhill","<span style=""color:green""><b>[No carrier needed, passive, downhill]:</b> Correct, simple diffusion is defined as passive movement downhill without a carrier.</span><br><span style=""color:red""><b>[Needs carrier, passive, downhill]:</b> Wrong, this describes facilitated diffusion.</span><br><span style=""color:red""><b>[Needs ATP, uphill]:</b> Wrong, this describes primary active transport.</span><br><span style=""color:red""><b>[Uses energy from primary pump, uphill]:</b> Wrong, this describes secondary active transport.</span><br><span style=""color:red""><b>[Active, uses carrier]:</b> Wrong, simple diffusion is a passive process.</span>"
,,,,Cell Physiology (BRS),Membrane Transport,What is the direction of transport in simple diffusion?,Uphill (against gradient),Downhill (follows electrochemical gradient),Horizontal across membrane,Unidirectional only,Bidirectional against gradient,Downhill (follows electrochemical gradient),"<span style=""color:green""><b>[Downhill (follows electrochemical gradient)]:</b> Correct, the text states simple diffusion follows the electrochemical gradient.</span><br><span style=""color:red""><b>[Uphill (against gradient)]:</b> Wrong, uphill movement requires energy and is characteristic of active transport.</span><br><span style=""color:red""><b>[Horizontal across membrane]:</b> Wrong, the text specifies the direction as <i>downhill</i>.</span><br><span style=""color:red""><b>[Unidirectional only]:</b> Wrong, the direction is dictated by the electrochemical gradient.</span><br><span style=""color:red""><b>[Bidirectional against gradient]:</b> Wrong, simple diffusion cannot go against a gradient.</span>"
,,,,Cell Physiology (BRS),Membrane Transport,Which characteristic distinguishes facilitated diffusion from simple diffusion?,It requires energy (ATP),It moves substances uphill,It requires carrier proteins,It occurs without a gradient,It is an active process,It requires carrier proteins,"<span style=""color:green""><b>[It requires carrier proteins]:</b> Correct, unlike simple diffusion, facilitated diffusion needs carrier proteins.</span><br><span style=""color:red""><b>[It requires energy (ATP)]:</b> Wrong, both simple and facilitated diffusion are passive.</span><br><span style=""color:red""><b>[It moves substances uphill]:</b> Wrong, both are downhill processes.</span><br><span style=""color:red""><b>[It occurs without a gradient]:</b> Wrong, both follow an electrochemical gradient.</span><br><span style=""color:red""><b>[It is an active process]:</b> Wrong, both are passive.</span>"
,,,,Cell Physiology (BRS),Membrane Transport,What is a specific example of facilitated diffusion mentioned in the text?,Na–K pump,Ca-ATPase,Na–Glucose transport,Glucose transport in muscle [MCQ],Na–Ca counter-transport,Glucose transport in muscle [MCQ],"<span style=""color:green""><b>[Glucose transport in muscle [MCQ]]:</b> Correct, the text specifically lists this as the example for facilitated diffusion.</span><br><span style=""color:red""><b>[Na–K pump]:</b> Wrong, this is primary active transport.</span><br><span style=""color:red""><b>[Ca-ATPase]:</b> Wrong, this is primary active transport.</span><br><span style=""color:red""><b>[Na–Glucose transport]:</b> Wrong, this is secondary active transport (co-transport).</span><br><span style=""color:red""><b>[Na–Ca counter-transport]:</b> Wrong, this is secondary active transport (antiport).</span>"
,,,,Cell Physiology (BRS),Membrane Transport,How does Primary Active Transport move substances?,Downhill without energy,Downhill with a carrier,Uphill against electrochemical gradient using ATP,Uphill using energy from another pump,Passive through a channel,Uphill against electrochemical gradient using ATP,"<span style=""color:green""><b>[Uphill against electrochemical gradient using ATP]:</b> Correct, the text states it moves uphill and needs energy (ATP).</span><br><span style=""color:red""><b>[Downhill without energy]:</b> Wrong, this describes simple diffusion.</span><br><span style=""color:red""><b>[Downhill with a carrier]:</b> Wrong, this describes facilitated diffusion.</span><br><span style=""color:red""><b>[Uphill using energy from another pump]:</b> Wrong, this describes secondary active transport.</span><br><span style=""color:red""><b>[Passive through a channel]:</b> Wrong, primary active transport is an active process.</span>"
,,,,Cell Physiology (BRS),Membrane Transport,Which of the following is an example of Primary Active Transport?,Glucose transport in muscle,Na–Glucose co-transport,Na–Ca counter-transport,Na–K pump (cell membrane),Simple diffusion,Na–K pump (cell membrane),"<span style=""color:green""><b>[Na–K pump (cell membrane)]:</b> Correct, the text lists this as a primary active transport example.</span><br><span style=""color:red""><b>[Glucose transport in muscle]:</b> Wrong, this is facilitated diffusion.</span><br><span style=""color:red""><b>[Na–Glucose co-transport]:</b> Wrong, this is secondary active transport.</span><br><span style=""color:red""><b>[Na–Ca counter-transport]:</b> Wrong, this is secondary active transport.</span><br><span style=""color:red""><b>[Simple diffusion]:</b> Wrong, this is a passive process.</span>"
,,,,Cell Physiology (BRS),Membrane Transport,Where is the Ca-ATPase pump located according to the text?,Cell membrane,Sarcoplasmic reticulum (SR),Mitochondria,Nucleus,Lysosome,Sarcoplasmic reticulum (SR),"<span style=""color:green""><b>[Sarcoplasmic reticulum (SR)]:</b> Correct, the text specifically places Ca-ATPase in the SR.</span><br><span style=""color:red""><b>[Cell membrane]:</b> Wrong, the text identifies the cell membrane as the location for the Na-K pump.</span><br><span style=""color:red""><b>[Mitochondria]:</b> Wrong, this location is not mentioned in the text.</span><br><span style=""color:red""><b>[Nucleus]:</b> Wrong, this location is not mentioned in the text.</span><br><span style=""color:red""><b>[Lysosome]:</b> Wrong, this location is not mentioned in the text.</span>"
,,,,Cell Physiology (BRS),Membrane Transport,Secondary active transport is characterized by:,Using ATP directly,Moving substances downhill,Using energy made by a primary pump to move uphill,Requiring no carrier protein,Being a passive process,Using energy made by a primary pump to move uphill,"<span style=""color:green""><b>[Using energy made by a primary pump to move uphill]:</b> Correct, secondary active transport uses energy generated by a primary pump to move uphill.</span><br><span style=""color:red""><b>[Using ATP directly]:</b> Wrong, this describes primary active transport.</span><br><span style=""color:red""><b>[Moving substances downhill]:</b> Wrong, secondary active transport moves substances uphill.</span><br><span style=""color:red""><b>[Requiring no carrier protein]:</b> Wrong, active transport typically involves carrier mechanisms.</span><br><span style=""color:red""><b>[Being a passive process]:</b> Wrong, it is an active process.</span>"
,,,,Cell Physiology (BRS),Membrane Transport,Which example represents co-transport (symport)?,Na–Ca exchange,Na–K pump,Glucose transport in muscle,Na–Glucose transport,Simple diffusion,Na–Glucose transport,"<span style=""color:green""><b>[Na–Glucose transport]:</b> Correct, the text defines this as co-transport (symport).</span><br><span style=""color:red""><b>[Na–Ca exchange]:</b> Wrong, this is defined as counter-transport (antiport).</span><br><span style=""color:red""><b>[Na–K pump]:</b> Wrong, this is primary active transport.</span><br><span style=""color:red""><b>[Glucose transport in muscle]:</b> Wrong, this is facilitated diffusion.</span><br><span style=""color:red""><b>[Simple diffusion]:</b> Wrong, this is a passive process.</span>"
,,,,Cell Physiology (BRS),Membrane Transport,"In counter-transport (antiport), how do substances move?",Both go together in the same direction,"One moves in, one moves out",Downhill without energy,Through simple diffusion,Only out of the cell,"One moves in, one moves out","<span style=""color:green""><b>[One moves in, one moves out]:</b> Correct, the text defines counter-transport (antiport) as one moving in and one moving out.</span><br><span style=""color:red""><b>[Both go together in the same direction]:</b> Wrong, this describes co-transport (symport).</span><br><span style=""color:red""><b>[Downhill without energy]:</b> Wrong, this describes diffusion.</span><br><span style=""color:red""><b>[Through simple diffusion]:</b> Wrong, antiport is active transport.</span><br><span style=""color:red""><b>[Only out of the cell]:</b> Wrong, it involves an exchange mechanism.</span>"
