Book,Exam,Number,ID,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
,,,,BRS PHYSIOLOGY,Cell,All of the following are features of simple diffusion except,No carrier mediated,Passive,Uphill,No Na gradient,,C,
,,,,BRS PHYSIOLOGY,Cell,Na-K pump in the cell is an example of which type of transport,Facilitated diffusion,Simple diffusion,Secondary active transport,Primary active transport,,D,
,,,,BRS PHYSIOLOGY,Cell,The resting membrane potential of a nerve is,-70mV,-80mV,-90mV,-100mV,,A,
,,,,BRS PHYSIOLOGY,Cell,"Regarding resting membrane potential, which statement is correct",High resting conductance to Na+,High resting conductance to K+,Na channel always opened,None,,B,
,,,,BRS PHYSIOLOGY,Cell,The action of Neostigmine is to,Block reuptake of choline,Block release of ACh,Inhibit acetylcholinesterase,All are correct,,C,
,,,,BRS PHYSIOLOGY,Cell,The action of Hemicholinium is to,Block degeneration of ACh,Block choline reuptake,Block Na channel,Block K channel,,B,
,,,,BRS PHYSIOLOGY,Cell,Which of the following is an inhibitory neurotransmitter,GABA,ACh,Dopamine,Glutamate,,A,
,,,,BRS PHYSIOLOGY,Cell,The primary neurotransmitter of post-synaptic sympathetic neurons is,Serotonin,GABA,Dopamine,Norepinephrine,,D,
,,,,BRS PHYSIOLOGY,Cell,Inhibitory post-synaptic potential is due to,Opening K channels,Opening Na channels,Closing Cl channels,Opening Cl channels,,D,
,,,,BRS PHYSIOLOGY,Cell,All are features of the thin filament except,I band,Z line,A band,Contains actin,,C,
,,,,BRS PHYSIOLOGY,CVS,Which cardiovascular site has the highest resistance,Veins,Arteries,Arterioles,Capillaries,,C,
,,,,BRS PHYSIOLOGY,CVS,Which structure contains the highest portion of blood in the CVS,Veins,Arteries,Capillaries,Arterioles,,A,
,,,,BRS PHYSIOLOGY,CVS,Capacitance is described as,Greater for arteries than veins,Greater for veins than arteries,Equal for both veins and arteries,Directly with elastance,,B,
,,,,BRS PHYSIOLOGY,CVS,Action potential has a long duration specifically in the,Ventricles,Atria,Purkinje fibers,AV node,,C,
,,,,BRS PHYSIOLOGY,CVS,The normal pacemaker of the heart is the,Atria,AV node,Purkinje fibers,SA node,,D,
,,,,BRS PHYSIOLOGY,CVS,The S3 heart sound is produced in which phase of the cardiac cycle,Rapid ventricular filling,Reduced ventricular filling,Atrial systole,Rapid ventricular ejection,,A,
,,,,BRS PHYSIOLOGY,CVS,The longest phase of the cardiac cycle is,Atrial systole,Isovolumetric relaxation,Rapid ventricular filling,Reduced ventricular filling,,D,
,,,,BRS PHYSIOLOGY,CVS,All of the following are responses of the vasomotor center except,Increased contractility,Increased stroke volume,Decreased heart rate,Vasoconstriction,,C,
,,,,BRS PHYSIOLOGY,CVS,All of the following are functions of Angiotensin II except,Increase Na-H exchange,Inhibit aldosterone secretion,Increase thirst,Vasoconstriction of arterioles,,B,
,,,,BRS PHYSIOLOGY,CVS,Which circulation has the least important local metabolic control mechanism,Skin,Coronary,Cerebral,Muscle,,A,
,,,,BRS PHYSIOLOGY,Respiratory,Which muscle is used during forced expiration or exercise,Accessory muscles,Diaphragm,Rectus minor,Rectus abdominis,,A,
,,,,BRS PHYSIOLOGY,Respiratory,Which of the following is correct regarding surfactant,Increases surface tension,Synthesized by Type II alveolar cells,Synthesized by Type I alveolar cells,All are correct,,B,
,,,,BRS PHYSIOLOGY,Respiratory,The major site of airway resistance is the,Large bronchi,Small bronchi,Medium-sized bronchi,Large and small bronchi,,C,
,,,,BRS PHYSIOLOGY,Respiratory,All of the following shift the Hb-O2 dissociation curve to the right except,Increased temperature,Decreased pH,Increased PCO2,HbF,,D,
,,,,BRS PHYSIOLOGY,Respiratory,What is the affinity of hemoglobin for carbon monoxide compared to oxygen,50 times,100 times,150 times,200-250 times,,D,
,,,,BRS PHYSIOLOGY,Respiratory,All of the following cause hypoxemia except,Fibrosis,High altitude,Hyperventilation,V/Q defect,,C,
,,,,BRS PHYSIOLOGY,Respiratory,What is the normal value of the A-a gradient,1 to 5 mmHg,0 to 10 mmHg,10 to 12 mmHg,8 to 12 mmHg,,B,
,,,,BRS PHYSIOLOGY,Respiratory,All of the following cause hypoxia except,Increased cardiac output,Hypoxemia,Anemia,Cyanide poisoning,,A,
,,,,BRS PHYSIOLOGY,Respiratory,"At the apex of the lungs, all of the following are correct except",Lower ventilation,Higher V/Q ratio,Lower blood flow,Higher regional arterial PCO2,,D,
,,,,BRS PHYSIOLOGY,Respiratory,The location of the pneumotaxic center is the,Midbrain,Lower pons,Upper pons,Medulla,,C,
,,,,BRS PHYSIOLOGY,Renal,Estimation of GFR is done using,Inulin,BUN/Creatinine ratio,Phosphate,Glucose,,B,
